nm3053338	Margot Robbie	{"0": "female"}
nm0378245	Taraji P. Henson	{"0": "female"}
nm0000422	John Goodman	{"0": "male"}
nm0000623	Rene Russo	{"0": "female"}
nm0001545	Dudley Moore	{"0": "male"}
nm0001838	Rachel Weisz	{"0": "female"}
nm0000438	Ed Harris	{"0": "male"}
nm3485845	Adam Driver	{"0": "male"}
nm0302108	Zach Galifianakis	{"0": "male"}
nm0000597	Bill Pullman	{"0": "male"}
nm0000502	Christopher Lloyd	{"0": "male"}
nm0000307	Helena Bonham Carter	{"0": "female"}
nm0000171	Ashley Judd	{"0": "female"}
nm0000285	Alec Baldwin	{"0": "male"}
nm0001602	Guy Pearce	{"0": "male"}
nm0000686	Christopher Walken	{"0": "male"}
nm0000335	Glenn Close	{"0": "female"}
nm1785339	Rami Malek	{"0": "male"}
nm0001427	Greg Kinnear	{"0": "male"}
nm0000886	Warren Beatty	{"0": "male"}
nm0267812	Vera Farmiga	{"0": "female"}
nm0001876	Catherine Zeta-Jones	{"0": "female"}
nm0687625	Glenn Plummer	{"0": "male"}
nm0000355	Anthony Daniels	{"0": "male"}
nm2313103	Rebel Wilson	{"0": "female"}
nm0000531	Frances McDormand	{"0": "female"}
nm0000223	Elisabeth Shue	{"0": "female"}
nm0001674	Chris Rock	{"0": "male"}
nm0000664	Patrick Swayze	{"0": "male"}
nm0424848	Dakota Johnson	{"0": "female"}
nm0915208	Naomi Watts	{"0": "female"}
nm0005351	Ryan Reynolds	{"0": "male"}
nm0503567	Logan Lerman	{"0": "male"}
nm0000630	Liev Schreiber	{"0": "male"}
nm0000295	Kate Beckinsale	{"0": "female"}
nm0001426	Ben Kingsley	{"0": "male"}
nm0000527	Walter Matthau	{"0": "male"}
nm0000700	Debra Winger	{"0": "female"}
nm0004755	Jason Biggs	{"0": "male"}
nm0000450	Philip Seymour Hoffman	{"0": "male"}
nm0879085	Tyrese Gibson	{"0": "male"}
nm0000678	Kathleen Turner	{"0": "female"}
nm0005028	Kate Hudson	{"0": "female"}
nm0000249	James Woods	{"0": "male"}
nm0000235	Uma Thurman	{"0": "female"}
nm0000234	Charlize Theron	{"0": "female"}
nm5052065	Ansel Elgort	{"0": "male"}
nm0001451	Queen Latifah	{"0": "female"}
nm0001473	Laura Linney	{"0": "female"}
nm0000579	Ron Perlman	{"0": "male"}
nm0000906	Annette Bening	{"0": "female"}
nm0005182	Leslie Mann	{"0": "female"}
nm0000685	Jon Voight	{"0": "male"}
nm0001337	Katherine Heigl	{"0": "female"}
nm0001691	Geoffrey Rush	{"0": "male"}
nm1325419	Kristen Wiig	{"0": "female"}
nm0001772	Patrick Stewart	{"0": "male"}
nm2633535	Asa Butterfield	{"0": "male"}
nm0000291	Angela Bassett	{"0": "female"}
nm0000412	Andy Garcia	{"0": "male"}
nm0293509	Martin Freeman	{"0": "male"}
nm0000706	Michelle Yeoh	{"0": "female"}
nm0000353	Willem Dafoe	{"0": "male"}
nm0001494	Ralph Macchio	{"0": "male"}
nm0671567	Michael Peña	{"0": "male"}
nm0001804	Stanley Tucci	{"0": "male"}
nm0001364	Bob Hoskins	{"0": "male"}
nm0000198	Gary Oldman	{"0": "male"}
nm0001029	Jim Caviezel	{"0": "male"}
nm0000510	Andie MacDowell	{"0": "female"}
nm0000651	Sissy Spacek	{"0": "female"}
nm0001749	Maggie Smith	{"0": "female"}
nm0000232	Sharon Stone	{"0": "female"}
nm0000569	Gwyneth Paltrow	{"0": "female"}
nm0000147	Colin Firth	{"0": "male"}
nm0001806	John Turturro	{"0": "male"}
nm0000638	William Shatner	{"0": "male"}
nm5896355	Anya Taylor-Joy	{"0": "female"}
nm0397171	Bryce Dallas Howard	{"0": "female"}
nm0252230	Chiwetel Ejiofor	{"0": "male"}
nm0000676	Chris Tucker	{"0": "male"}
nm0396558	Nicholas Hoult	{"0": "male"}
nm1013003	Michael Ealy	{"0": "male"}
nm0000133	Geena Davis	{"0": "female"}
nm0000110	Kenneth Branagh	{"0": "male"}
nm0005541	Marlon Wayans	{"0": "male"}
nm1519680	Saoirse Ronan	{"0": "female"}
nm0000156	Jeff Goldblum	{"0": "male"}
nm0001347	Barbara Hershey	{"0": "female"}
nm0000549	Roger Moore	{"0": "male"}
nm3729721	Dylan O'Brien	{"0": "male"}
nm0000124	Jennifer Connelly	{"0": "female"}
nm0000430	Steve Guttenberg	{"0": "male"}
nm0005466	Julia Stiles	{"0": "female"}
nm0420955	Richard Jenkins	{"0": "male"}
nm1265802	Josh Gad	{"0": "male"}
nm0267506	Anna Faris	{"0": "female"}
nm0913475	John David Washington	{"0": "male"}
nm1840504	Tiffany Haddish	{"0": "female"}
nm0000200	Bill Paxton	{"0": "male"}
nm1208167	Diane Kruger	{"0": "female"}
nm0000505	Nia Long	{"0": "female"}
nm2794962	Hailee Steinfeld	{"0": "female"}
nm0000558	Leslie Nielsen	{"0": "male"}
nm0005188	James Marsden	{"0": "male"}
nm0837177	Jason Sudeikis	{"0": "male"}
nm0929489	Tom Wilkinson	{"0": "male"}
nm0000586	Jada Pinkett Smith	{"0": "female"}
nm0488953	Brie Larson	{"0": "female"}
nm0000056	Paul Newman	{"0": "male"}
nm5473782	Taron Egerton	{"0": "male"}
nm0000596	Jonathan Pryce	{"0": "male"}
nm0000661	Donald Sutherland	{"0": "male"}
nm1935086	Tessa Thompson	{"0": "female"}
nm0000656	Madeleine Stowe	{"0": "female"}
nm0000554	Sam Neill	{"0": "male"}
nm0818055	Octavia Spencer	{"0": "female"}
nm2159926	Jake Johnson	{"0": "male"}
nm1886602	Miles Teller	{"0": "male"}
nm0068338	Kristen Bell	{"0": "female"}
nm0781981	Jason Segel	{"0": "male"}
nm0362766	Tom Hardy	{"0": "male"}
nm0000513	William H. Macy	{"0": "male"}
nm5397459	Daisy Ridley	{"0": "female"}
nm0000870	Kathy Bates	{"0": "female"}
nm1659547	Carey Mulligan	{"0": "female"}
nm0931329	Michelle Williams	{"0": "female"}
nm1812656	Luke Evans	{"0": "male"}
nm0000493	Jack Lemmon	{"0": "male"}
nm0001096	Timothy Dalton	{"0": "male"}
nm0000573	Dolly Parton	{"0": "female"}
nm2933757	Gal Gadot	{"0": "female"}
nm0005450	David Spade	{"0": "male"}
nm0005125	Sanaa Lathan	{"0": "female"}
nm0000170	Milla Jovovich	{"0": "female"}
nm0000657	David Strathairn	{"0": "male"}
nm1946193	Jamie Dornan	{"0": "male"}
nm0000902	Jim Belushi	{"0": "male"}
nm0000004	John Belushi	{"0": "male"}
nm0001303	Carla Gugino	{"0": "female"}
nm0562679	Peter Mayhew	{"0": "male"}
nm0005266	Craig T. Nelson	{"0": "male"}
nm0059431	Jay Baruchel	{"0": "male"}
nm0935541	Mary Elizabeth Winstead	{"0": "female"}
nm0002138	Gregory Hines	{"0": "male"}
nm2353862	Dev Patel	{"0": "male"}
nm0000563	Chris O'Donnell	{"0": "male"}
nm0515116	Blake Lively	{"0": "female"}
nm1055413	Michael Fassbender	{"0": "male"}
nm0005132	Heath Ledger	{"0": "male"}
nm0001001	James Caan	{"0": "male"}
nm1617685	Jennifer Hudson	{"0": "female"}
nm0004802	Linda Cardellini	{"0": "female"}
nm0000117	Neve Campbell	{"0": "female"}
nm0000276	Sean Astin	{"0": "male"}
nm0000213	Winona Ryder	{"0": "female"}
nm0026364	Anthony Anderson	{"0": "male"}
nm0000300	Juliette Binoche	{"0": "female"}
nm1086543	Amanda Seyfried	{"0": "female"}
nm0205626	Viola Davis	{"0": "female"}
nm0001758	Timothy Spall	{"0": "male"}
nm0005460	Mary Steenburgen	{"0": "female"}
nm0001745	Stellan Skarsgård	{"0": "male"}
nm0000704	Elijah Wood	{"0": "male"}
nm0001624	Oliver Platt	{"0": "male"}
nm1209966	Oscar Isaac	{"0": "male"}
nm0001737	Martin Short	{"0": "male"}
nm0000609	Ving Rhames	{"0": "male"}
nm0757855	Zoe Saldana	{"0": "female"}
nm0539082	Romany Malco	{"0": "male"}
nm0000404	Jane Fonda	{"0": "female"}
nm0000342	James Cromwell	{"0": "male"}
nm0001293	Seth Green	{"0": "male"}
nm0910607	Christoph Waltz	{"0": "male"}
nm0000530	Andrew McCarthy	{"0": "male"}
nm3915784	John Boyega	{"0": "male"}
nm2154960	Amy Schumer	{"0": "female"}
nm0089217	Orlando Bloom	{"0": "male"}
nm1020089	Sally Hawkins	{"0": "female"}
nm0000633	Tom Selleck	{"0": "male"}
nm0001507	Cheech Marin	{"0": "male"}
nm0000459	Timothy Hutton	{"0": "male"}
nm0836343	Jim Sturgess	{"0": "male"}
nm0005377	Sam Rockwell	{"0": "male"}
nm0005499	Lily Tomlin	{"0": "female"}
nm0811242	Brittany Snow	{"0": "female"}
nm0000547	Alfred Molina	{"0": "male"}
nm1954240	Teresa Palmer	{"0": "female"}
nm0000293	Sean Bean	{"0": "male"}
nm0000671	Billy Bob Thornton	{"0": "male"}
nm0000104	Antonio Banderas	{"0": "male"}
nm2541974	Jai Courtney	{"0": "male"}
nm0000157	Linda Hamilton	{"0": "female"}
nm0000501	Ray Liotta	{"0": "male"}
nm0051509	Eric Bana	{"0": "male"}
nm1985859	Mia Wasikowska	{"0": "female"}
nm0000614	Alan Rickman	{"0": "male"}
nm0358316	Jon Hamm	{"0": "male"}
nm0506405	Eugene Levy	{"0": "male"}
nm0177933	Chris Cooper	{"0": "male"}
nm0005093	Regina King	{"0": "female"}
nm0001569	Chuck Norris	{"0": "male"}
nm3772243	Theo James	{"0": "male"}
nm0004820	Morris Chestnut	{"0": "male"}
nm0000218	Kristin Scott Thomas	{"0": "female"}
nm1910255	Dylan Minnette	{"0": "male"}
nm0322407	Brendan Gleeson	{"0": "male"}
nm0001548	Rick Moranis	{"0": "male"}
nm0001101	Ted Danson	{"0": "male"}
nm0005148	Delroy Lindo	{"0": "male"}
nm2002649	Dave Franco	{"0": "male"}
nm1834115	Annabelle Wallis	{"0": "female"}
nm5016878	Jacob Tremblay	{"0": "male"}
nm0005272	Thomas Ian Nicholas	{"0": "male"}
nm0221046	Zooey Deschanel	{"0": "female"}
nm0000980	Jim Broadbent	{"0": "male"}
nm0000172	Harvey Keitel	{"0": "male"}
nm0001378	Anjelica Huston	{"0": "female"}
nm0799777	J.K. Simmons	{"0": "male"}
nm2309517	Armie Hammer	{"0": "male"}
nm1535523	Jaden Smith	{"0": "male"}
nm0000161	Salma Hayek	{"0": "female"}
nm0000297	Tom Berenger	{"0": "male"}
nm0058581	Justin Bartha	{"0": "male"}
nm0000568	Frank Oz	{"0": "male"}
nm0000507	Rob Lowe	{"0": "male"}
nm0835016	Mark Strong	{"0": "male"}
nm0000321	Gabriel Byrne	{"0": "male"}
nm3592338	Emilia Clarke	{"0": "female"}
nm0000166	Helen Hunt	{"0": "female"}
nm0000498	Matthew Lillard	{"0": "male"}
nm0005305	Piper Perabo	{"0": "female"}
nm0000566	Julia Ormond	{"0": "female"}
nm0000368	Laura Dern	{"0": "female"}
nm0269463	Jon Favreau	{"0": "male"}
nm0339304	Bruce Greenwood	{"0": "male"}
nm2018237	Taylor Kitsch	{"0": "male"}
nm0004851	Penélope Cruz	{"0": "female"}
nm0000982	Josh Brolin	{"0": "male"}
nm0164809	Jason Clarke	{"0": "male"}
nm0519043	Justin Long	{"0": "male"}
nm0915989	Hugo Weaving	{"0": "male"}
nm2539953	Alicia Vikander	{"0": "female"}
nm0275486	Tina Fey	{"0": "female"}
nm0005493	Justin Timberlake	{"0": "male"}
nm1913734	Rooney Mara	{"0": "female"}
nm0005123	Ali Larter	{"0": "female"}
nm6525901	Henry Golding	{"0": "male"}
nm0001662	Judge Reinhold	{"0": "male"}
nm0000698	Gene Wilder	{"0": "male"}
nm0004778	Adrien Brody	{"0": "male"}
nm0073231	Ladislav Beran	{"0": "male"}
nm0827663	Daniel Stern	{"0": "male"}
nm0107748	Spencer Breslin	{"0": "male"}
nm0000346	Macaulay Culkin	{"0": "male"}
nm4832920	Quvenzhané Wallis	{"0": "female"}
nm0000673	Marisa Tomei	{"0": "female"}
nm0000250	Renée Zellweger	{"0": "female"}
nm0785227	Andy Serkis	{"0": "male"}
nm0001653	Stephen Rea	{"0": "male"}
nm1275259	Alexandra Daddario	{"0": "female"}
nm0000495	Téa Leoni	{"0": "female"}
nm0050959	Pedro Pascal	{"0": "male"}
nm3154303	Timothée Chalamet	{"0": "male"}
nm0000333	Cher	{"0": "female"}
nm0765597	Peter Sarsgaard	{"0": "male"}
nm0001659	Christopher Reeve	{"0": "male"}
nm0000491	John Leguizamo	{"0": "male"}
nm0000107	Kim Basinger	{"0": "female"}
nm0001264	Sarah Michelle Gellar	{"0": "female"}
nm0000545	Helen Mirren	{"0": "female"}
nm0001736	Pauly Shore	{"0": "male"}
nm0004875	Taye Diggs	{"0": "male"}
nm0000394	Chris Farley	{"0": "male"}
nm0000273	Alan Arkin	{"0": "male"}
nm1063517	Kathryn Hahn	{"0": "female"}
nm6073955	Florence Pugh	{"0": "female"}
nm1157358	Michelle Monaghan	{"0": "female"}
nm0798779	Ron Silver	{"0": "male"}
nm0001209	William Fichtner	{"0": "male"}
nm0000463	Famke Janssen	{"0": "female"}
